"id","BP","FLCΣ","item","response","res"
4,1.1,1.95,"item1",2,0
4,1.1,1.95,"item2",3,0
4,1.1,1.95,"item3",3,0
4,1.1,1.95,"item4",2,0
4,1.1,1.95,"item5",2,0
4,1.1,1.95,"item6",2,0
4,1.1,1.95,"item7",1,0
4,1.1,1.95,"item8",1,0
4,1.1,1.95,"item9",2,0
4,1.1,1.95,"item10",2,0
4,1.1,1.95,"item11",2,0
4,1.1,1.95,"item12",1,0
4,1.1,1.95,"item13",2,0
4,1.1,1.95,"item14",2,0
4,1.1,1.95,"item15",1,0
4,1.1,1.95,"item16",1,0
4,1.1,1.95,"item17",1,0
4,1.1,1.95,"item18",1,0
6,0.76,0.64,"item1",2,0
6,0.76,0.64,"item2",2,0
6,0.76,0.64,"item3",2,0
6,0.76,0.64,"item4",3,0
6,0.76,0.64,"item5",4,1
6,0.76,0.64,"item6",3,0
6,0.76,0.64,"item7",3,0
6,0.76,0.64,"item8",3,0
6,0.76,0.64,"item9",3,0
6,0.76,0.64,"item10",4,1
6,0.76,0.64,"item11",4,1
6,0.76,0.64,"item12",3,0
6,0.76,0.64,"item13",3,0
6,0.76,0.64,"item14",3,0
6,0.76,0.64,"item15",3,0
6,0.76,0.64,"item16",3,0
6,0.76,0.64,"item17",1,0
6,0.76,0.64,"item18",1,0
7,1.69,2.58,"item1",2,0
7,1.69,2.58,"item2",2,0
7,1.69,2.58,"item3",2,0
7,1.69,2.58,"item4",2,0
7,1.69,2.58,"item5",2,0
7,1.69,2.58,"item6",2,0
7,1.69,2.58,"item7",2,0
7,1.69,2.58,"item8",2,0
7,1.69,2.58,"item9",2,0
7,1.69,2.58,"item10",2,0
7,1.69,2.58,"item11",2,0
7,1.69,2.58,"item12",2,0
7,1.69,2.58,"item13",2,0
7,1.69,2.58,"item14",1,0
7,1.69,2.58,"item15",1,0
7,1.69,2.58,"item16",1,0
7,1.69,2.58,"item17",1,0
7,1.69,2.58,"item18",1,0
8,0.56,0.55,"item1",3,0
8,0.56,0.55,"item2",3,0
8,0.56,0.55,"item3",3,0
8,0.56,0.55,"item4",1,0
8,0.56,0.55,"item5",1,0
8,0.56,0.55,"item6",1,0
8,0.56,0.55,"item7",2,0
8,0.56,0.55,"item8",1,0
8,0.56,0.55,"item9",1,0
8,0.56,0.55,"item10",2,0
8,0.56,0.55,"item11",1,0
8,0.56,0.55,"item12",1,0
8,0.56,0.55,"item13",1,0
8,0.56,0.55,"item14",1,0
8,0.56,0.55,"item15",1,0
8,0.56,0.55,"item16",1,0
8,0.56,0.55,"item17",1,0
8,0.56,0.55,"item18",1,0
10,0.52,0.64,"item1",2,0
10,0.52,0.64,"item2",2,0
10,0.52,0.64,"item3",2,0
10,0.52,0.64,"item4",2,0
10,0.52,0.64,"item5",2,0
10,0.52,0.64,"item6",2,0
10,0.52,0.64,"item7",2,0
10,0.52,0.64,"item8",2,0
10,0.52,0.64,"item9",2,0
10,0.52,0.64,"item10",2,0
10,0.52,0.64,"item11",2,0
10,0.52,0.64,"item12",2,0
10,0.52,0.64,"item13",2,0
10,0.52,0.64,"item14",2,0
10,0.52,0.64,"item15",2,0
10,0.52,0.64,"item16",2,0
10,0.52,0.64,"item17",2,0
10,0.52,0.64,"item18",2,0
11,0.89,2.64,"item1",2,0
11,0.89,2.64,"item2",2,0
11,0.89,2.64,"item3",2,0
11,0.89,2.64,"item4",1,0
11,0.89,2.64,"item5",1,0
11,0.89,2.64,"item6",2,0
11,0.89,2.64,"item7",1,0
11,0.89,2.64,"item8",1,0
11,0.89,2.64,"item9",2,0
11,0.89,2.64,"item10",1,0
11,0.89,2.64,"item11",1,0
11,0.89,2.64,"item12",1,0
11,0.89,2.64,"item13",1,0
11,0.89,2.64,"item14",1,0
11,0.89,2.64,"item15",1,0
11,0.89,2.64,"item16",1,0
11,0.89,2.64,"item17",1,0
11,0.89,2.64,"item18",1,0
12,0.74,0.21,"item1",2,0
12,0.74,0.21,"item2",3,0
12,0.74,0.21,"item3",3,0
12,0.74,0.21,"item4",1,0
12,0.74,0.21,"item5",2,0
12,0.74,0.21,"item6",2,0
12,0.74,0.21,"item7",4,1
12,0.74,0.21,"item8",4,1
12,0.74,0.21,"item9",3,0
12,0.74,0.21,"item10",2,0
12,0.74,0.21,"item11",2,0
12,0.74,0.21,"item12",1,0
12,0.74,0.21,"item13",2,0
12,0.74,0.21,"item14",3,0
12,0.74,0.21,"item15",2,0
12,0.74,0.21,"item16",2,0
12,0.74,0.21,"item17",1,0
12,0.74,0.21,"item18",1,0
13,0.71,4.69,"item1",2,0
13,0.71,4.69,"item2",2,0
13,0.71,4.69,"item3",2,0
13,0.71,4.69,"item4",2,0
13,0.71,4.69,"item5",1,0
13,0.71,4.69,"item6",1,0
13,0.71,4.69,"item7",1,0
13,0.71,4.69,"item8",1,0
13,0.71,4.69,"item9",1,0
13,0.71,4.69,"item10",1,0
13,0.71,4.69,"item11",1,0
13,0.71,4.69,"item12",1,0
13,0.71,4.69,"item13",1,0
13,0.71,4.69,"item14",1,0
13,0.71,4.69,"item15",1,0
13,0.71,4.69,"item16",2,0
13,0.71,4.69,"item17",1,0
13,0.71,4.69,"item18",1,0
14,0.51,1.61,"item1",3,0
14,0.51,1.61,"item2",2,0
14,0.51,1.61,"item3",2,0
14,0.51,1.61,"item4",1,0
14,0.51,1.61,"item5",1,0
14,0.51,1.61,"item6",1,0
14,0.51,1.61,"item7",1,0
14,0.51,1.61,"item8",1,0
14,0.51,1.61,"item9",1,0
14,0.51,1.61,"item10",1,0
14,0.51,1.61,"item11",1,0
14,0.51,1.61,"item12",1,0
14,0.51,1.61,"item13",1,0
14,0.51,1.61,"item14",1,0
14,0.51,1.61,"item15",1,0
14,0.51,1.61,"item16",1,0
14,0.51,1.61,"item17",1,0
14,0.51,1.61,"item18",1,0
